Gene Name,SHAP Value (Mean Abs),Organ
NOTCH2,0.0007853936776961,Bone
ETV6,0.0007357768442081,Bone
SECISBP2L,0.0005931513768243,Bone
PEX10,0.0005319646395886,Bone
LGALS8,0.0005265736463416,Bone
FBXW12,0.0003504618367399,Bone
CEBPZ,0.0003374670947149,Bone
SLC22A4,0.0002807006407605,Bone
MYCL,0.0002779329141492,Bone
HS3ST1,0.0001568953025061,Bone
SLC22A4,0.0011264125618804,Brain
FBXW12,0.0010435509848583,Brain
MYCL,0.0009335701973028,Brain
CEBPZ,0.0007731138637245,Brain
SECISBP2L,0.0007730943258585,Brain
NOTCH2,0.0006361825861236,Brain
PEX10,0.0006051230698473,Brain
HS3ST1,0.0005793135668396,Brain
ETV6,0.0005552611469634,Brain
LGALS8,0.0004100712073405,Brain
HS3ST1,0.0008074265516634,Liver
SLC22A4,0.0006477154598421,Liver
FBXW12,0.0006062789967851,Liver
ETV6,0.0005617771542127,Liver
PEX10,0.0004754849717062,Liver
NOTCH2,0.0004051031541538,Liver
CEBPZ,0.0003935775096274,Liver
MYCL,0.0003697139369245,Liver
LGALS8,0.000321179492456,Liver
SECISBP2L,0.0003000681683509,Liver
LGALS8,0.0010159309208455,Lung
NOTCH2,0.0009414084405859,Lung
MYCL,0.0007805351986669,Lung
FBXW12,0.0006917139352208,Lung
HS3ST1,0.0006846585931789,Lung
CEBPZ,0.0006791946808009,Lung
SECISBP2L,0.0005990508626833,Lung
SLC22A4,0.0005602697605833,Lung
PEX10,0.0005390498434459,Lung
ETV6,0.0003836742152818,Lung
